epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.921,1.4226,2.26274,1.62759,0.5812,0.5016,0.48545,0.30085,1.38084,2.41329,1.72964,0.000547118,0.000547118,0.000547118
2,649.678,1.39565,1.66511,1.54646,0.62441,0.47433,0.54602,0.25935,1.72935,2.35198,2.31572,0.00108095,0.00108095,0.00108095
3,986.269,1.43239,1.61035,1.57377,0.32511,0.51114,0.37774,0.1716,1.84217,2.47959,2.17429,0.00159278,0.00159278,0.00159278
4,1335.02,1.44047,1.5303,1.57121,0.57671,0.56848,0.52754,0.27025,1.75946,1.75078,2.05925,0.00156798,0.00156798,0.00156798
5,1684.99,1.41,1.43044,1.54708,0.44975,0.3998,0.36951,0.19439,1.74187,3.09883,1.97719,0.00153497,0.00153497,0.00153497
6,2001.41,1.38604,1.36763,1.52409,0.62224,0.5865,0.5574,0.28333,1.65632,1.75971,2.04713,0.00150197,0.00150197,0.00150197
7,2309.39,1.38313,1.3355,1.53834,0.69493,0.61271,0.68561,0.39157,1.46624,1.25942,1.80358,0.00146896,0.00146896,0.00146896
8,2622.34,1.314,1.26483,1.49953,0.65223,0.62566,0.63694,0.37138,1.33583,1.44611,1.64385,0.00143595,0.00143595,0.00143595
9,2929.91,1.29815,1.22413,1.48396,0.75877,0.72932,0.75174,0.41585,1.47562,1.15007,1.77968,0.00140295,0.00140295,0.00140295
10,3502.67,1.32394,1.18355,1.46323,0.74931,0.74657,0.79248,0.4737,1.39772,1.06651,1.66221,0.00136994,0.00136994,0.00136994
11,4115.61,1.29183,1.20735,1.45693,0.71251,0.74636,0.77663,0.4716,1.37167,1.1474,1.63792,0.00133693,0.00133693,0.00133693
12,4570.15,1.26106,1.14539,1.45196,0.63553,0.74693,0.70433,0.41462,1.331,1.33533,1.6193,0.00130393,0.00130393,0.00130393
13,4861.71,1.24062,1.11263,1.43375,0.77357,0.75096,0.80155,0.49937,1.32977,1.04982,1.6459,0.00127092,0.00127092,0.00127092
14,5149.41,1.25143,1.09921,1.41952,0.75614,0.7643,0.80436,0.48188,1.33283,1.07827,1.62425,0.00123791,0.00123791,0.00123791
15,5446.55,1.24214,1.08711,1.43651,0.80214,0.75367,0.81111,0.51433,1.27208,0.99854,1.55091,0.00120491,0.00120491,0.00120491
16,5746.49,1.25765,1.09943,1.4216,0.8136,0.77978,0.83244,0.52048,1.28836,0.94108,1.56674,0.0011719,0.0011719,0.0011719
17,6045.78,1.23813,1.08355,1.40971,0.7805,0.78183,0.805,0.50719,1.27242,0.95072,1.54864,0.00113889,0.00113889,0.00113889
18,6346.04,1.21969,1.02685,1.40217,0.79479,0.78316,0.83733,0.53374,1.26711,0.90341,1.54229,0.00110589,0.00110589,0.00110589
19,6642.05,1.22155,1.01641,1.40182,0.81222,0.76964,0.82769,0.5277,1.26312,0.91386,1.51737,0.00107288,0.00107288,0.00107288
20,6945.53,1.21754,0.99656,1.38911,0.87068,0.73222,0.82439,0.54373,1.24765,0.91335,1.53554,0.00103987,0.00103987,0.00103987
21,7247.89,1.18737,0.98355,1.39885,0.79155,0.75729,0.77612,0.46481,1.31463,1.03315,1.59185,0.00100687,0.00100687,0.00100687
22,7546.38,1.1702,0.97114,1.38564,0.82881,0.78999,0.81905,0.52581,1.23268,0.89529,1.52407,0.000973861,0.000973861,0.000973861
23,7843.36,1.16205,0.96908,1.38149,0.81755,0.77068,0.8338,0.54612,1.27003,0.8465,1.54685,0.000940855,0.000940855,0.000940855
24,8140.08,1.19564,0.97699,1.38957,0.84498,0.71401,0.82619,0.52474,1.25936,0.88995,1.55253,0.000907848,0.000907848,0.000907848
25,8429.32,1.15848,0.9287,1.35228,0.82535,0.79098,0.83981,0.54462,1.19795,0.83539,1.48679,0.000874842,0.000874842,0.000874842
26,8720.93,1.14871,0.94439,1.3771,0.82871,0.78925,0.85067,0.54167,1.20887,0.87612,1.49743,0.000841835,0.000841835,0.000841835
27,9009.09,1.16784,0.94804,1.35633,0.81021,0.8006,0.84867,0.54893,1.20438,0.82927,1.46832,0.000808828,0.000808828,0.000808828
28,9299.57,1.15234,0.92506,1.35064,0.79025,0.80082,0.80215,0.50091,1.22673,0.96794,1.50903,0.000775822,0.000775822,0.000775822
29,9624.67,1.13938,0.92857,1.35271,0.82088,0.77602,0.82392,0.53365,1.18969,0.84766,1.49326,0.000742815,0.000742815,0.000742815
30,10239.2,1.13821,0.91324,1.35056,0.82055,0.79441,0.82823,0.53542,1.19407,0.84734,1.46826,0.000709809,0.000709809,0.000709809
31,10822,1.12853,0.92303,1.33157,0.83283,0.78681,0.84354,0.55135,1.20313,0.78604,1.48396,0.000676802,0.000676802,0.000676802
32,11099.2,1.11935,0.86878,1.35041,0.83627,0.78818,0.85439,0.53269,1.2267,0.83344,1.51337,0.000643795,0.000643795,0.000643795
33,11382.2,1.10141,0.8694,1.33341,0.80537,0.80455,0.85849,0.56077,1.18888,0.82351,1.46802,0.000610789,0.000610789,0.000610789
34,11673.5,1.11599,0.88942,1.33135,0.78027,0.81729,0.82848,0.53446,1.20586,0.81568,1.47999,0.000577782,0.000577782,0.000577782
35,11961.5,1.1108,0.88184,1.33526,0.86244,0.75194,0.84813,0.56786,1.18191,0.808,1.45266,0.000544776,0.000544776,0.000544776
36,12254.8,1.09523,0.8496,1.32491,0.84344,0.77382,0.84945,0.57267,1.17287,0.77063,1.45015,0.000511769,0.000511769,0.000511769
37,12546.9,1.07338,0.83345,1.31329,0.86296,0.75365,0.85376,0.58325,1.1544,0.76802,1.44055,0.000478762,0.000478762,0.000478762
38,12836.6,1.10832,0.85399,1.32056,0.83534,0.79019,0.84521,0.57434,1.14104,0.74628,1.43364,0.000445756,0.000445756,0.000445756
39,13125.6,1.07266,0.82377,1.30689,0.83359,0.79,0.8542,0.57178,1.17486,0.76658,1.45662,0.000412749,0.000412749,0.000412749
40,13416.6,1.06358,0.8153,1.29911,0.83089,0.78759,0.84517,0.54818,1.15684,0.77153,1.44145,0.000379743,0.000379743,0.000379743
41,13707.2,0.98964,0.75522,1.31588,0.80853,0.81566,0.83186,0.55323,1.13751,0.79731,1.43315,0.000346736,0.000346736,0.000346736
42,13991.6,0.95961,0.69754,1.29659,0.83006,0.77043,0.84336,0.56399,1.15741,0.76906,1.43416,0.000313729,0.000313729,0.000313729
43,14281.7,0.95609,0.67901,1.28913,0.83176,0.80379,0.84554,0.57572,1.13459,0.78942,1.43434,0.000280723,0.000280723,0.000280723
44,14566.7,0.93363,0.66867,1.26183,0.82895,0.81841,0.85127,0.57469,1.15594,0.78407,1.44556,0.000247716,0.000247716,0.000247716
45,15082.2,0.92855,0.66196,1.27269,0.80525,0.8028,0.84146,0.57704,1.14586,0.76757,1.44138,0.00021471,0.00021471,0.00021471
46,15380.5,0.92758,0.64584,1.28051,0.81305,0.79229,0.84872,0.58211,1.14131,0.75137,1.43889,0.000181703,0.000181703,0.000181703
47,15665.7,0.91956,0.64137,1.26137,0.81098,0.81202,0.8493,0.57716,1.13729,0.76004,1.43056,0.000148696,0.000148696,0.000148696
48,15951.9,0.90252,0.63273,1.24779,0.82649,0.80651,0.85508,0.5835,1.11911,0.74193,1.41523,0.00011569,0.00011569,0.00011569
49,16233.9,0.90927,0.61714,1.25283,0.8279,0.79421,0.85488,0.5856,1.12029,0.74674,1.41767,8.26832e-05,8.26832e-05,8.26832e-05
50,16519.7,0.89257,0.62388,1.23994,0.82086,0.79859,0.85339,0.58777,1.12289,0.73734,1.42014,4.96766e-05,4.96766e-05,4.96766e-05
